Tarih;;Genel Kodlama İlgisi;;;;Platformlar/Araçlar;;;;;;;;Oyun Tabanlı Öğrenme;;;;Eğitsel Bağlam;;;
yıl;ay;kids coding;coding for kids;learn to code kids;children programming;Scratch;Tynker;Code.org;Blockly;Kodable;Bee-Bot;Code-a-Pillar;Matatalab;coding games;coding apps for kids;block coding games;robotics games kids;coding curriculum;coding in school;online coding class kids;STEM for kids
2004;1;0;0;0;64;25;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0
2004;2;0;0;0;100;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2004;3;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2004;4;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2004;5;0;0;0;76;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2004;6;0;0;0;52;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2004;7;0;0;0;51;23;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0
2004;8;0;0;0;0;22;0;0;0;0;0;0;0;22;0;0;0;0;34;0;0
2004;9;0;0;0;61;22;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0
2004;10;0;0;0;67;24;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0
2004;11;0;0;0;89;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2004;12;0;0;100;69;22;0;0;0;32;0;0;0;16;0;0;0;0;0;0;0
2005;1;0;0;0;50;21;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0
2005;2;0;0;0;81;22;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0
2005;3;0;0;0;67;24;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0
2005;4;0;0;0;73;21;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0
2005;5;0;0;0;81;22;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0
2005;6;0;0;0;51;22;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0
2005;7;0;0;0;34;22;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0
2005;8;0;0;0;58;22;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0
2005;9;0;0;0;38;23;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0
2005;10;0;0;0;64;25;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0
2005;11;0;0;0;68;25;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0
2005;12;0;0;0;30;25;0;1;0;0;0;0;0;12;0;0;0;0;22;0;0
2006;1;0;0;0;50;26;0;0;0;0;0;0;0;13;0;0;0;0;0;0;13
2006;2;0;0;0;42;23;0;0;0;0;0;0;0;12;0;0;0;62;0;0;0
2006;3;0;0;0;46;23;0;0;0;0;0;0;0;15;0;0;0;0;21;0;0
