Tarih;;Scratch'a ilişkin değişkenler;;;;;;;;;;;;;;;;;;;
Yıl;Ay;new projects;new users;new comments;;;;;;;;;;;;;;;;;
2007;3;561;845;884;;;;;;;;;;;;;;;;;
2007;4;926;941;1902;;;;;;;;;;;;;;;;;
2007;5;5000;10742;10850;;;;;;;;;;;;;;;;;
2007;6;7463;8063;14791;;;;;;;;;;;;;;;;;
2007;7;5983;6242;22224;;;;;;;;;;;;;;;;;
2007;8;5587;4492;26351;;;;;;;;;;;;;;;;;
2007;9;6083;6437;21278;;;;;;;;;;;;;;;;;
2007;10;8417;6539;25570;;;;;;;;;;;;;;;;;
2007;11;10655;7182;24625;;;;;;;;;;;;;;;;;
2007;12;13154;7143;46108;;;;;;;;;;;;;;;;;
2008;1;15678;9621;61680;;;;;;;;;;;;;;;;;
2008;2;18616;10381;86742;;;;;;;;;;;;;;;;;
2008;3;21293;10933;116198;;;;;;;;;;;;;;;;;
2008;4;21554;11422;115252;;;;;;;;;;;;;;;;;
2008;5;22968;12716;107321;;;;;;;;;;;;;;;;;
2008;6;23825;12453;135851;;;;;;;;;;;;;;;;;
2008;7;26920;11443;147788;;;;;;;;;;;;;;;;;
2008;8;23995;10806;141673;;;;;;;;;;;;;;;;;
2008;9;23873;12944;108982;;;;;;;;;;;;;;;;;
2008;10;27527;14330;129273;;;;;;;;;;;;;;;;;
2008;11;29189;15404;145481;;;;;;;;;;;;;;;;;
2008;12;28825;13078;135242;;;;;;;;;;;;;;;;;
2009;1;31618;15537;158053;;;;;;;;;;;;;;;;;
2009;2;33407;19430;158528;;;;;;;;;;;;;;;;;
2009;3;36250;20741;154973;;;;;;;;;;;;;;;;;
2009;4;34079;16750;166966;;;;;;;;;;;;;;;;;
2009;5;40244;20244;219591;;;;;;;;;;;;;;;;;
2009;6;36558;18399;209192;;;;;;;;;;;;;;;;;
2009;7;39140;15533;298561;;;;;;;;;;;;;;;;;
2009;8;34594;12559;332091;;;;;;;;;;;;;;;;;
2009;9;30963;17717;234327;;;;;;;;;;;;;;;;;
2009;10;38921;19002;215606;;;;;;;;;;;;;;;;;
2009;11;41012;19082;248326;;;;;;;;;;;;;;;;;
2009;12;40004;15084;257434;;;;;;;;;;;;;;;;;
2010;1;41339;18880;244266;;;;;;;;;;;;;;;;;
2010;2;38636;17687;225875;;;;;;;;;;;;;;;;;
2010;3;48901;23486;260749;;;;;;;;;;;;;;;;;
2010;4;55756;22836;287325;;;;;;;;;;;;;;;;;
2010;5;67157;32400;300977;;;;;;;;;;;;;;;;;
2010;6;70119;34432;355894;;;;;;;;;;;;;;;;;
2010;7;55930;20377;395452;;;;;;;;;;;;;;;;;
2010;8;47456;15261;434703;;;;;;;;;;;;;;;;;
2010;9;49862;23376;334435;;;;;;;;;;;;;;;;;
2010;10;56159;21623;340236;;;;;;;;;;;;;;;;;
2010;11;60787;23437;357434;;;;;;;;;;;;;;;;;
2010;12;54926;17843;409022;;;;;;;;;;;;;;;;;
2011;1;54668;20145;404757;;;;;;;;;;;;;;;;;
2011;2;53510;24234;369064;;;;;;;;;;;;;;;;;
2011;3;61503;28929;353606;;;;;;;;;;;;;;;;;
2011;4;59505;21517;340523;;;;;;;;;;;;;;;;;
2011;5;65531;28629;321271;;;;;;;;;;;;;;;;;
2011;6;62996;22357;378719;;;;;;;;;;;;;;;;;
2011;7;53791;17199;442176;;;;;;;;;;;;;;;;;
2011;8;46800;15672;448415;;;;;;;;;;;;;;;;;
2011;9;46060;25050;332419;;;;;;;;;;;;;;;;;
2011;10;54827;25236;296758;;;;;;;;;;;;;;;;;
2011;11;65571;30075;317675;;;;;;;;;;;;;;;;;
2011;12;57700;24691;323348;;;;;;;;;;;;;;;;;
2012;1;51180;25984;327460;;;;;;;;;;;;;;;;;
2012;2;54069;31203;295901;;;;;;;;;;;;;;;;;
2012;3;66800;36629;283813;;;;;;;;;;;;;;;;;
2012;4;63030;29285;301937;;;;;;;;;;;;;;;;;
2012;5;67320;35341;322427;;;;;;;;;;;;;;;;;
2012;6;59441;26739;359319;;;;;;;;;;;;;;;;;
2012;7;53738;20942;395821;;;;;;;;;;;;;;;;;
2012;8;42353;19258;356083;;;;;;;;;;;;;;;;;
2012;9;46957;30306;280206;;;;;;;;;;;;;;;;;
2012;10;60935;47766;283128;;;;;;;;;;;;;;;;;
2012;11;65162;41921;299656;;;;;;;;;;;;;;;;;
2012;12;57097;33129;274244;;;;;;;;;;;;;;;;;
2013;1;54923;35350;317871;;;;;;;;;;;;;;;;;
2013;2;63065;45775;274838;;;;;;;;;;;;;;;;;
2013;3;78070;53818;319027;;;;;;;;;;;;;;;;;
2013;4;74793;45963;309003;;;;;;;;;;;;;;;;;
2013;5;88395;93825;343385;;;;;;;;;;;;;;;;;
2013;6;105709;89274;457555;;;;;;;;;;;;;;;;;
2013;7;98859;68052;535663;;;;;;;;;;;;;;;;;
2013;8;80408;64433;550513;;;;;;;;;;;;;;;;;
2013;9;102877;117641;427484;;;;;;;;;;;;;;;;;
2013;10;149884;136418;558987;;;;;;;;;;;;;;;;;
2013;11;185008;145484;755563;;;;;;;;;;;;;;;;;
2013;12;201244;196243;906081;;;;;;;;;;;;;;;;;
2014;1;178909;201697;974111;;;;;;;;;;;;;;;;;
2014;2;186355;173342;980382;;;;;;;;;;;;;;;;;
2014;3;227622;201992;1104365;;;;;;;;;;;;;;;;;
2014;4;215993;178575;1063976;;;;;;;;;;;;;;;;;
2014;5;256590;224297;1243176;;;;;;;;;;;;;;;;;
2014;6;202683;159189;1296452;;;;;;;;;;;;;;;;;
2014;7;171875;121984;1439706;;;;;;;;;;;;;;;;;
2014;8;142138;118308;1446963;;;;;;;;;;;;;;;;;
2014;9;215177;253567;1231745;;;;;;;;;;;;;;;;;
2014;10;290575;293540;1332247;;;;;;;;;;;;;;;;;
2014;11;328195;294889;1531116;;;;;;;;;;;;;;;;;
2014;12;356160;324089;1765247;;;;;;;;;;;;;;;;;
2015;1;335439;344163;1881596;;;;;;;;;;;;;;;;;
2015;2;333597;308422;1899338;;;;;;;;;;;;;;;;;
2015;3;370388;381545;2179700;;;;;;;;;;;;;;;;;
2015;4;357200;451204;2054268;;;;;;;;;;;;;;;;;
2015;5;387124;314227;2263365;;;;;;;;;;;;;;;;;
2015;6;299254;241193;2220139;;;;;;;;;;;;;;;;;
2015;7;233714;161829;2241944;;;;;;;;;;;;;;;;;
2015;8;211339;186849;2381427;;;;;;;;;;;;;;;;;
2015;9;299136;375605;2043157;;;;;;;;;;;;;;;;;
2015;10;413029;427818;2232072;;;;;;;;;;;;;;;;;
2015;11;453084;635703;2471930;;;;;;;;;;;;;;;;;
2015;12;440853;402813;2669738;;;;;;;;;;;;;;;;;
2016;1;444451;442054;2848886;;;;;;;;;;;;;;;;;
2016;2;488116;939502;2810776;;;;;;;;;;;;;;;;;
2016;3;522697;472455;3043266;;;;;;;;;;;;;;;;;
2016;4;530901;502182;2941512;;;;;;;;;;;;;;;;;
2016;5;579671;521420;2893168;;;;;;;;;;;;;;;;;
2016;6;446655;382978;2888069;;;;;;;;;;;;;;;;;
2016;7;320585;233399;2893215;;;;;;;;;;;;;;;;;
2016;8;309194;307315;3010364;;;;;;;;;;;;;;;;;
2016;9;519723;635064;2725477;;;;;;;;;;;;;;;;;
2016;10;669008;649990;2964199;;;;;;;;;;;;;;;;;
2016;11;711434;686991;3105450;;;;;;;;;;;;;;;;;
2016;12;635098;582109;3150555;;;;;;;;;;;;;;;;;
2017;1;644854;647837;3277512;;;;;;;;;;;;;;;;;
2017;2;697582;622758;3038916;;;;;;;;;;;;;;;;;
2017;3;859946;772037;3619882;;;;;;;;;;;;;;;;;
2017;4;674157;584290;3462537;;;;;;;;;;;;;;;;;
2017;5;864454;960977;3648435;;;;;;;;;;;;;;;;;
2017;6;534010;430122;3145024;;;;;;;;;;;;;;;;;
2017;7;325812;305341;3060616;;;;;;;;;;;;;;;;;
2017;8;348216;405943;3321833;;;;;;;;;;;;;;;;;
2017;9;591693;778252;2826979;;;;;;;;;;;;;;;;;
2017;10;850148;837490;3249751;;;;;;;;;;;;;;;;;
2017;11;941125;908871;3576115;;;;;;;;;;;;;;;;;
2017;12;803538;767247;3545558;;;;;;;;;;;;;;;;;
2018;1;753967;1297930;3813763;;;;;;;;;;;;;;;;;
2018;2;806778;764639;3393073;;;;;;;;;;;;;;;;;
2018;3;910108;862556;3915468;;;;;;;;;;;;;;;;;
2018;4;891121;1002784;3689946;;;;;;;;;;;;;;;;;
2018;5;1024357;1132971;3747327;;;;;;;;;;;;;;;;;
2018;6;607267;493354;3241663;;;;;;;;;;;;;;;;;
2018;7;366950;327725;3191385;;;;;;;;;;;;;;;;;
2018;8;409423;539201;3234402;;;;;;;;;;;;;;;;;
2018;9;701334;942407;3368540;;;;;;;;;;;;;;;;;
2018;10;1015327;2395657;3752772;;;;;;;;;;;;;;;;;
2018;11;1039303;966876;3998424;;;;;;;;;;;;;;;;;
2018;12;843730;696006;3926719;;;;;;;;;;;;;;;;;
2019;1;785477;914793;3926407;;;;;;;;;;;;;;;;;
2019;2;871412;858950;3826166;;;;;;;;;;;;;;;;;
2019;3;1053693;2008244;4386298;;;;;;;;;;;;;;;;;
2019;4;952336;878575;4179823;;;;;;;;;;;;;;;;;
2019;5;1134936;1087237;4332899;;;;;;;;;;;;;;;;;
2019;6;651510;1037874;3475585;;;;;;;;;;;;;;;;;
2019;7;407664;3061463;3349506;;;;;;;;;;;;;;;;;
2019;8;473356;518001;3514024;;;;;;;;;;;;;;;;;
2019;9;828528;1010367;3585351;;;;;;;;;;;;;;;;;
2019;10;1104428;1062188;4148872;;;;;;;;;;;;;;;;;
2019;11;1143042;1035366;4635761;;;;;;;;;;;;;;;;;
2019;12;938084;945147;4779448;;;;;;;;;;;;;;;;;
2020;1;967586;1988516;5130688;;;;;;;;;;;;;;;;;
2020;2;1061632;1048248;5224732;;;;;;;;;;;;;;;;;
2020;3;1299560;1265725;8250926;;;;;;;;;;;;;;;;;
2020;4;1459809;1156772;11893450;;;;;;;;;;;;;;;;;
2020;5;1652969;1108994;14382918;;;;;;;;;;;;;;;;;
2020;6;1296352;786317;13711530;;;;;;;;;;;;;;;;;
2020;7;1012332;582623;12911332;;;;;;;;;;;;;;;;;
2020;8;1024243;743904;13104005;;;;;;;;;;;;;;;;;
2020;9;1539217;1386764;14805982;;;;;;;;;;;;;;;;;
2020;10;2046279;1621322;17615585;;;;;;;;;;;;;;;;;
2020;11;2147243;1955632;17988287;;;;;;;;;;;;;;;;;
2020;12;2023858;1334914;17586006;;;;;;;;;;;;;;;;;
2021;1;1974037;1594697;18978811;;;;;;;;;;;;;;;;;
2021;2;1972751;1589827;19424938;;;;;;;;;;;;;;;;;
2021;3;2416121;1905600;20399746;;;;;;;;;;;;;;;;;
2021;4;2181788;1684686;18649040;;;;;;;;;;;;;;;;;
2021;5;2305344;1637573;17740935;;;;;;;;;;;;;;;;;
2021;6;1703293;1105538;13872397;;;;;;;;;;;;;;;;;
2021;7;1149704;677155;10514133;;;;;;;;;;;;;;;;;
2021;8;1296826;947770;11156973;;;;;;;;;;;;;;;;;
2021;9;1949837;1756335;12371329;;;;;;;;;;;;;;;;;
2021;10;2455308;2039020;13626319;;;;;;;;;;;;;;;;;
2021;11;2545674;2061684;12773608;;;;;;;;;;;;;;;;;
2021;12;2112492;1341697;12211469;;;;;;;;;;;;;;;;;
2022;1;2352574;1743149;14595748;;;;;;;;;;;;;;;;;
2022;2;2445081;1789371;15292340;;;;;;;;;;;;;;;;;
2022;3;2834377;2043105;16632815;;;;;;;;;;;;;;;;;
2022;4;2311005;1575268;14641034;;;;;;;;;;;;;;;;;
2022;5;2597088;1791467;14748373;;;;;;;;;;;;;;;;;
2022;6;1857150;1144795;11662624;;;;;;;;;;;;;;;;;
2022;7;1282840;685028;11376338;;;;;;;;;;;;;;;;;
2022;8;1471562;1045934;12870573;;;;;;;;;;;;;;;;;
2022;9;2117175;1811316;13168854;;;;;;;;;;;;;;;;;
2022;10;2469624;1831140;14380477;;;;;;;;;;;;;;;;;
2022;11;2637581;1874386;14843723;;;;;;;;;;;;;;;;;
2022;12;2273360;1229003;15028157;;;;;;;;;;;;;;;;;
2023;1;2392612;1722744;15805635;;;;;;;;;;;;;;;;;
2023;2;2491148;1846496;14235502;;;;;;;;;;;;;;;;;
2023;3;2977644;2178482;15480293;;;;;;;;;;;;;;;;;
2023;4;2463599;1545683;14330993;;;;;;;;;;;;;;;;;
2023;5;2777797;1857845;14306988;;;;;;;;;;;;;;;;;
